PREDICTED_COLOR_2_HOURS,ACTUAL_COLOR,PROBABILITY_COLOR_2_HOURS
Green/Yellow,Green/Yellow,0.274
Green/Yellow,Green/Yellow,0.01
Green/Yellow,Green/Yellow,0.052
Green/Yellow,Green/Yellow,0.116
Green/Yellow,Green/Yellow,0.014
Green/Yellow,Green/Yellow,0.082
Green/Yellow,Green/Yellow,0.006
Green/Yellow,Green/Yellow,0.104
Green/Yellow,Green/Yellow,0.044
Orange/Red,Green/Yellow,0.624
Orange/Red,Green/Yellow,0.724
Green/Yellow,Green/Yellow,0.122
Orange/Red,Orange/Red,0.564
Green/Yellow,Green/Yellow,0.41
Orange/Red,Orange/Red,0.864
Green/Yellow,Green/Yellow,0
Orange/Red,Green/Yellow,0.652
Green/Yellow,Green/Yellow,0.052
Green/Yellow,Green/Yellow,0.322
Orange/Red,Green/Yellow,0.56
Green/Yellow,Green/Yellow,0.058
Green/Yellow,Green/Yellow,0.258
Orange/Red,Green/Yellow,0.79
Green/Yellow,Green/Yellow,0.35
Green/Yellow,Green/Yellow,0.416
Green/Yellow,Green/Yellow,0.036
Green/Yellow,Green/Yellow,0.034
Orange/Red,Green/Yellow,0.752
Orange/Red,Green/Yellow,0.67
Orange/Red,Green/Yellow,0.582
Green/Yellow,Green/Yellow,0.122
Green/Yellow,Green/Yellow,0.268
Green/Yellow,Green/Yellow,0.004
Green/Yellow,Green/Yellow,0.034
Orange/Red,Green/Yellow,0.798
Green/Yellow,Green/Yellow,0.162
Green/Yellow,Green/Yellow,0.312
Orange/Red,Orange/Red,0.802
Green/Yellow,Green/Yellow,0.344
Orange/Red,Orange/Red,0.604
Green/Yellow,Green/Yellow,0.31
Orange/Red,Green/Yellow,0.82
Green/Yellow,Green/Yellow,0.2
Green/Yellow,Orange/Red,0.426
Green/Yellow,Green/Yellow,0.31
Green/Yellow,Green/Yellow,0.006
Green/Yellow,Green/Yellow,0.04
Green/Yellow,Green/Yellow,0.094
Green/Yellow,Green/Yellow,0.262
Green/Yellow,Green/Yellow,0.022
Green/Yellow,Green/Yellow,0.052
Green/Yellow,Green/Yellow,0.01
Green/Yellow,Green/Yellow,0.324
Green/Yellow,Green/Yellow,0.082
Orange/Red,Green/Yellow,0.516
Orange/Red,Green/Yellow,0.934
Orange/Red,Green/Yellow,0.536
Green/Yellow,Green/Yellow,0.008
Green/Yellow,Green/Yellow,0.166
Green/Yellow,Green/Yellow,0.05
Green/Yellow,Green/Yellow,0.052
Orange/Red,Green/Yellow,0.536
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0.248
Green/Yellow,Green/Yellow,0.022
Green/Yellow,Green/Yellow,0.014
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0.24
Green/Yellow,Green/Yellow,0.036
